GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,OSConvertFrame.new MouseAdapter() {...},41,0,2,0,11,0,3,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,OSConvertFrame.new MouseAdapter() {...},108,0,4,0,24,0,4,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,OSConvertFrame,180,0,0,0,40,0,1,0,1,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,EncodeConvertActionListener,15,0,0,0,6,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,EncodeConvertFrame.new MouseAdapter() {...},60,0,6,0,15,0,5,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,EncodeConvertFrame.new MouseAdapter() {...},174,0,6,0,33,0,5,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,EncodeConvertFrame.new ItemListener() {...},23,0,2,0,5,0,3,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,OSConvertActionListener,13,0,0,0,5,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,EncodeConvertFrame,338,0,4,0,70,0,3,0,1,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text.zhconvert,ZHUtils,97,0,14,0,27,0,13,0,6,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text.zhconvert,ZHConverter,225,0,22,0,54,0,18,0,7,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,MonkeyActionListener,13,0,0,0,5,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,MonkeyFrame.new ActionListener() {...},441,0,38,0,66,0,21,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,MonkeyFrame.new ActionListener() {...},52,0,0,0,11,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,MonkeyFrame.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,MonkeyFrame.new ActionListener() {...},32,0,0,0,5,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,MonkeyFrame.new ItemListener() {...},20,0,2,0,5,0,3,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,MonkeyFrame.new ItemListener() {...},20,0,2,0,5,0,3,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,MonkeyFrame.new ActionListener() {...},31,0,0,0,8,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,MonkeyFrame.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,MonkeyFrame.new ActionListener() {...},37,0,4,0,7,0,4,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,AutoCompleter3,288,0,28,0,68,0,21,0,7,0
